2.4841617e-07	3.5481172e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.5481172e-08	1.3415441e-08	-9.393387e-08	0	0	0	0	0	0	0	0	0	0	0	0	0
0	-9.393387e-08	2.7712716e-07	2.8158971e-07	0	0	0	0	0	0	0	0	0	0	0	0
0	0	2.8158971e-07	-1.2799546e-07	-2.6038833e-07	0	0	0	0	0	0	0	0	0	0	0
0	0	0	-2.6038833e-07	-2.4556957e-07	6.0284725e-07	0	0	0	0	0	0	0	0	0	0
0	0	0	0	6.0284725e-07	-3.7385558e-07	-6.0637564e-07	0	0	0	0	0	0	0	0	0
0	0	0	0	0	-6.0637564e-07	-7.3579019e-07	7.774117e-05	0	0	0	0	0	0	0	0
0	0	0	0	0	0	7.774117e-05	0.15193570	-0.048220687	0	0	0	0	0	0	0
0	0	0	0	0	0	0	-0.048220687	0.34415489	-0.10379889	0	0	0	0	0	0
0	0	0	0	0	0	0	0	-0.10379889	0.36645231	-0.13374521	0	0	0	0	0
0	0	0	0	0	0	0	0	0	-0.13374521	0.36199450	0.19552554	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0.19552554	0.53715223	-0.25175822	0	0	0
0	0	0	0	0	0	0	0	0	0	0	-0.25175822	0.79177773	1.8781036	0	0
0	0	0	0	0	0	0	0	0	0	0	0	1.8781036	12.916505	3.8127663	0
0	0	0	0	0	0	0	0	0	0	0	0	0	3.8127663	19.584253	5.9948778
0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.9948778	2.0399451
